                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.57974,                0.99962,                0.36172,                0.99255,                0.62249,                0.51098,                0.53776,                0.35904,                0.72619,                0.45538,                0.49713,                0.31136,                0.62731,                 1.2521,                0.42533,                 1.0779,              0.0050896,              0.0050896,              0.0050896
                     65,                0.57849,                 1.0046,                0.36114,                0.99333,                 0.6422,                0.50438,                0.52885,                0.36215,                0.60965,                0.47523,                0.48137,                0.31406,                 0.6268,                 1.2777,                0.43017,                 1.0828,              0.0050104,              0.0050104,              0.0050104
                     66,                0.58183,                  1.007,                0.35937,                0.99759,                0.60538,                0.53989,                0.51734,                0.34928,                0.55897,                0.49113,                0.46655,                0.30064,                0.63254,                 1.2673,                0.43726,                 1.0847,              0.0049312,              0.0049312,              0.0049312
                     67,                  0.575,                0.99297,                0.35561,                0.99716,                0.58837,                0.55421,                0.52987,                0.36058,                 0.5599,                0.50548,                0.48087,                0.30999,                0.63062,                 1.2835,                0.43666,                 1.0908,               0.004852,               0.004852,               0.004852
                     68,                0.56593,                0.96665,                0.35099,                0.98625,                0.62803,                0.49604,                0.50937,                0.35149,                0.59113,                0.47544,                 0.4612,                0.29649,                0.62561,                 1.2732,                0.43074,                 1.0753,              0.0047728,              0.0047728,              0.0047728
                     69,                0.56349,                0.97845,                0.34671,                0.98935,                0.56596,                0.53647,                0.52962,                0.35954,                0.53214,                0.50601,                0.49035,                0.31389,                 0.6286,                 1.2857,                0.43655,                 1.0814,              0.0046936,              0.0046936,              0.0046936
                     70,                0.57205,                0.98946,                0.35101,                0.98894,                 0.7294,                0.49869,                0.52931,                0.36456,                0.59777,                0.50845,                0.49052,                0.31181,                0.62427,                 1.2703,                0.43799,                 1.0801,              0.0046144,              0.0046144,              0.0046144
                     71,                0.55906,                0.96686,                0.34323,                0.97946,                0.76739,                0.49493,                0.51782,                0.35698,                0.73461,                0.46336,                0.47836,                0.30662,                0.62987,                 1.2947,                0.43542,                 1.0875,              0.0045352,              0.0045352,              0.0045352
                     72,                0.56367,                0.96852,                0.34452,                  0.985,                0.56801,                0.52606,                0.52555,                0.35853,                0.53245,                0.49666,                  0.476,                0.30872,                0.62898,                 1.2832,                0.44102,                 1.0875,               0.004456,               0.004456,               0.004456
                     73,                0.56072,                0.96614,                0.34202,                0.98371,                0.66677,                0.46809,                0.50216,                0.35151,                0.66842,                0.43318,                0.46428,                 0.2983,                0.62935,                 1.2857,                0.43952,                 1.0886,              0.0043768,              0.0043768,              0.0043768
